"V1" "V2" "V3" "V4" "V5" "V6"
33,3975090504517 45,7284177257653 41,0792278559506 -7,23922482816095 NA -25,2846377637546
NA 42,5321115298852 41,6301330053533 -8,08275748119758 -19,651344108928 NA
14,1451881151221 11,675356056552 40,1188099447301 -5,20422102271745 NA -35,619047776707
-25,6952121455293 -12,2881950142755 20,3228961511862 -12,9377304564663 -24,7347092633922 -35,4898295763358
-79,4613217585013 -46,5094294445425 NA -14,0497042036544 -18,2638962586051 NA
NA 22,5196773605759 22,0084128709272 -13,2175916278679 -21,3643015347514 -29,159799245111
26,3484428559147 42,4711752122249 NA -3,98516959535167 NA -20,7544055894482
NA 47,4355044016392 22,0328003205381 -10,168958307588 -21,8173770738239 -30,8942293279963
9,72151833916137 14,367353628275 22,7103170669416 -11,1483968234885 -40,7413032171129 -56,2782663465215
-78,1550489283267 -54,7483927255378 -30,3297312679162 -18,0130785258328 -27,4215016986674 -36,2417849372957
-7,36939275401204 5,23847145925313 39,9529700206518 NA NA -16,6329924647151
NA 46,3133979596218 56,8020132864721 NA -14,209022157549 -23,7525875958465
NA 35,503784317075 44,1335027919992 -5,03720624659159 -11,7400255959752 -22,1839516173806
-21,8947109674799 -8,5932703151826 12,2932444809865 NA -27,0460716817927 -36,709035849892
NA 13,9839688841559 -27,3417827025465 NA NA NA
21,1757078807125 44,7029022088275 -0,0624910898014548 -18,3242023767837 -28,2798284686246 -34,7295592216232
40,7766448155189 18,4443824013355 59,4838127306283 -0,811493300858761 -7,427755464723 -19,8470522010975
32,7930318628258 50,540703687194 25,2634104563876 -12,2868247657676 -20,4374534975043 -29,2027801575593
-11,0987877279498 14,6456939306137 9,12599355406415 -11,3189528158938 NA -24,4948238895278
12,3574795795804 NA -16,0168340842268 -17,1185541184694 -19,2737282953889 -25,5452170108882
44,913112175366 41,8528779471898 37,6340395734649 -5,67490011031795 NA -16,6798324230057
NA -34,5757377092871 11,1751576508605 NA -7,4535736640256 -18,2470596911921
50,5570882625097 70,6402795191447 53,0918698277481 -7,14931739735174 -15,9018548672015 -25,6892749801633
23,3923053173797 48,7817631047753 44,4028704228424 -11,2668711227819 -23,1894435522059 NA
9,45586190214668 27,48526093496 44,2911183017261 -6,70823222842792 -19,6213173846946 -31,2280569643259
-10,6186284975906 32,8742376574659 -22,4403277474531 -18,6867901483878 NA -39,6704745081749
NA -31,1449745361412 1,52756393937491 -17,4075718707243 -36,1896127538729 -46,3661582225077
-44,4713716419071 -3,01145638283436 -12,8209519783543 -16,7807378302734 -26,2735972958756 -34,3237153362286
-8,42997464750828 11,0518289640058 32,4622186926069 -10,672014704175 -12,1939805927414 -19,3506522259371
NA 12,0416386379173 -18,4518958511677 -17,850151429379 -42,0913678894045 -53,6539555449104
60,2594862656393 51,2569181828458 41,877745627293 -5,99415703842347 -10,9298256878997 -20,0563322341092
NA 10,2737434460526 58,8215465411322 0,77274707882609 6,72647520364132 -2,528377283433
16,8891921132684 NA 57,9736575851642 -5,0390307958258 -18,3274596151552 NA
36,500838661509 NA 50,551587197888 -3,72555863633697 -20,4139107653011 -35,3657027434284
-34,4570698895507 -28,9060181684485 24,2227631000281 -7,92889143727926 -11,7044322749258 -21,4192170351253
NA 11,1783645403363 19,976017237661 NA -31,3934180865631 -42,867742557736
-15,8605154255984 8,62276233036034 21,0991074777733 -13,2814721981822 -24,9804235802688 -34,0958451322811
60,9697861358696 48,8620000273128 16,3542115020018 -12,2925208293286 -24,120785437907 -33,4384775042515
11,0255377383319 17,9740207655515 2,30482999427555 -15,1553177981866 NA NA
-38,102741352046 NA NA NA -19,2287394935147 -29,1415923266451
-8,63449285350428 10,7797352883356 41,2109843803013 -6,01641805418613 -9,65067099148363 -18,8452516985044
-16,0234654872312 16,0909640788568 21,8342867452216 -13,6874720270979 -18,8402511742395 -26,3861888848285
-16,6723259584534 0,644619188269495 20,2103689885386 -8,00995845317427 -17,7210915540931 -27,9293629583824
NA 63,0447247923364 NA NA -4,72823523784267 -14,6345775426194
72,7886988188404 NA 47,2159241621624 -8,39468431864245 -22,8138262236392 -33,7663163332588
-8,86172322328739 14,122604269434 NA -18,1143230439496 -29,5933933062434 -37,5382308149673
-21,1057938606099 -16,0697105413168 56,324976733772 -2,7901670001245 -11,8880987379593 -24,3833717702617
NA -8,84684050882303 3,42089580141849 -15,9700377432506 -22,1839910378873 NA
53,8315483750139 48,8446274991351 55,190061097851 -5,22152343061417 -17,5092639279972 NA
-43,4252116895122 -42,3295598936355 0,596422334853219 -9,11720695205627 -19,5635919239566 -31,5321189016103
-22,2519301925295 NA -2,21112835871574 -18,1595924121056 -31,2039650039331 -39,8714607931275
31,109411891737 28,7024595206599 43,7157539983532 -7,78533596460532 NA NA
10,3209513220846 23,7709185697442 30,2695473891162 -10,2858099569423 -7,57630872269812 -13,7071382969381
20,4695252915682 19,3473160794145 43,404719121045 -8,8909435779448 -18,7991192332273 -28,6600708966977
64,9762721734179 79,3066901293578 61,1642987350343 -6,08310158827192 -12,7942115270312 NA
24,9898851287702 32,0313495369956 18,5025510509983 -11,4340020537109 -8,59192158344733 -13,6440640214865
NA NA -34,5282201449833 -18,7502533412035 -29,9170093316403 -38,2083047369007
48,4872719640712 48,4570972273534 59,697287468968 -7,17254489230234 -18,6892759031141 -29,1330912841777
28,6015354151115 36,8905532392213 59,0480247609395 -4,96878051952046 -13,9006762885764 -24,4862761928831
-29,3242486043613 7,29329060007307 -11,775900554042 NA -37,8946091527577 -48,5358140779131
59,6028828488039 48,3082999734214 NA NA -18,7206995783856 -31,7741105904828
34,7047206270285 20,6003818292058 NA -7,41263555133655 NA -5,9916563792148
NA 33,2110826168025 1,36211358026985 -18,3030460272193 -40,6597286591615 -51,5350964013012
-6,5068388243929 19,3322812828932 NA -9,42882590634618 -5,5063706588226 NA
NA 7,81275378717521 11,9233649138112 -14,2535976144828 -27,7385832326819 NA
-42,4221283245924 -14,7872233572688 12,7044395752184 -14,1623067400435 -32,3119652348005 -43,0730086588074
0,194224168840917 6,99738444968017 32,2273331495003 -7,75037857540446 -10,396064195169 -19,0258237995726
-34,2959095454221 -4,058193792478 -46,4938510691684 -21,6547094296569 -42,3132947802199 -51,3783390831512
50,8618317059061 57,1429914576043 64,5978560495681 -5,34268355670095 NA -35,1314876010196
38,6364102127742 36,5524117923 55,2170723391232 -6,83346474827848 -26,5562085211859 -40,3718776765104
47,4570117545576 NA 63,1202843295606 NA -12,229914312754 NA
25,8620766839684 24,8288164483338 5,34891257346275 -14,1666501732594 -46,118148729397 -61,8535748500183
56,7814806064926 55,895789968279 79,4724255117418 -5,06475843645311 -10,6107329476809 NA
11,3146066647774 34,4548138022992 41,5617040484346 -12,5882273810854 -29,3226985408553 -40,6712197836319
61,2382430313383 55,2705816317091 55,2014271340697 NA -24,9006602243872 NA
-53,5112176728048 -30,0196772161406 20,5523963473341 -7,1885810961125 -18,3135928185205 -31,0299123600763
-52,8592218108339 NA 11,0647208611644 NA -41,4765252919548 -55,599129312005
51,5620920816606 61,4099669959839 69,314191389986 -5,68554690522134 -13,7899034594031 NA
31,5859759401985 46,535949508143 56,0314308098684 -4,40586084932845 -19,0114215421228 NA
